Площа житла,Кількість спалень,Відстань до центру міста,Ціна житла
97,4,9,969.7193651647741
167,4,16,1651.711751148943
117,4,7,1172.2915985209722
153,1,11,1512.4838876938877
59,1,2,590.4349161624597
71,5,5,725.0064085186895
86,3,5,863.2120680038438
137,3,14,1355.5240667189764
120,2,14,1183.811011114987
138,5,10,1385.4914995460565
190,1,9,1890.8914863527737
108,1,7,1072.7943053204654
89,4,13,882.0733027873241
137,5,3,1386.7815454569884
138,5,4,1402.637560191031
131,1,9,1296.9182025791142
75,5,17,737.6770236561425
127,4,6,1278.6415818438597
122,4,9,1221.2617248062086
59,1,6,581.0143298804481
198,1,5,1975.9164582595715
165,5,12,1653.708576576902
129,5,3,1307.8918436674735
132,3,7,1319.6785687869267
149,5,7,1500.5769225553702
79,5,13,790.6472504462486
197,2,18,1943.7740258536414
197,1,17,1944.5348748012527
192,5,6,1932.6431329542409
82,2,1,824.7689669756217
59,5,11,592.2864371699683
177,1,18,1737.1391544464775
82,3,13,809.4143205618548
81,4,5,818.274149194398
164,1,11,1623.6604765426143
78,1,2,779.7059861016658
84,2,10,828.5599602254092
178,2,17,1752.9011990510573
178,2,14,1761.909184815299
103,3,20,1005.7582434056176
183,2,10,1818.8958047158324
88,1,13,860.6388415787953
67,2,13,656.5903993823947
129,5,20,1274.7469687752064
182,5,12,1819.5030987714933
155,4,17,1537.5384592620935
92,5,19,907.636935019184
81,4,6,814.7507078172027
170,5,15,1696.5003496532067
51,3,5,516.7179594841326
115,4,19,1134.6825908998633
107,5,5,1087.4151566611306
85,4,19,834.6129668975652
152,4,16,1506.4933717896597
169,5,1,1715.6551267052505
61,1,18,579.9510801836741
132,2,6,1318.6915388024174
141,4,12,1405.2383522639002
178,4,13,1774.7139927605656
192,4,6,1931.4713635085782
149,2,9,1481.1256619245228
103,4,15,1019.4778137435874
190,4,17,1883.6679762952353
171,5,17,1700.9004749291933
134,1,11,1323.1687039436242
118,3,6,1183.104018929259
56,3,16,541.9385201948387
97,2,4,974.0054996331046
177,3,7,1768.906512027189
181,1,17,1782.0967656168896
150,3,19,1478.1617043259823
128,1,17,1254.335048504566
193,1,11,1916.1277401432826
198,5,16,1972.6494812438807
73,3,2,737.2377246969304
191,4,11,1909.0176043933518
167,2,13,1652.4060384142126
135,4,20,1330.2966460673545
